令和4年1月1日住民基本台帳年齢階級別人口（都道府県別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,
,,,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳～94歳,95歳～99歳,100歳以上
370002,香川県,女,497889 ,16489 ,19360 ,20750 ,21714 ,21690 ,20116 ,22099 ,26319 ,29962 ,36548 ,33117 ,27878 ,29415 ,32747 ,44244 ,29557 ,25924 ,21591 ,12979 ,4495 ,881 
380008,愛媛県,計,1341539 ,43658 ,53029 ,58328 ,59644 ,57671 ,55241 ,60889 ,71728 ,81066 ,97971 ,91545 ,80876 ,85616 ,94589 ,118593 ,77214 ,66972 ,49746 ,26979 ,8688 ,1444 
380008,愛媛県,男,637522 ,22444 ,27307 ,29842 ,30580 ,29368 ,28728 ,30978 ,35897 ,40802 ,49208 ,44840 ,39006 ,41242 ,45048 ,55510 ,33741 ,26823 ,17100 ,7210 ,1664 ,169 
380008,愛媛県,女,704017 ,21214 ,25722 ,28486 ,29064 ,28303 ,26513 ,29911 ,35831 ,40264 ,48763 ,46705 ,41870 ,44374 ,49541 ,63083 ,43473 ,40149 ,32646 ,19769 ,7024 ,1275 
390003,高知県,計,693369 ,21797 ,25470 ,27534 ,29965 ,28264 ,26356 ,28393 ,35464 ,40919 ,50465 ,46307 ,41058 ,45158 ,49826 ,64233 ,43413 ,36605 ,28705 ,16467 ,5635 ,893 
390003,高知県,男,327834 ,11117 ,12986 ,14186 ,15335 ,14655 ,13768 ,14319 ,17790 ,20791 ,25384 ,22638 ,19969 ,21862 ,23891 ,30367 ,18894 ,14615 ,9756 ,4225 ,1028 ,81 
390003,高知県,女,365535 ,10680 ,12484 ,13348 ,14630 ,13609 ,12588 ,14074 ,17674 ,20128 ,25081 ,23669 ,21089 ,23296 ,25935 ,33866 ,24519 ,21990 ,18949 ,12242 ,4607 ,812 
400009,福岡県,計,5108507 ,204001 ,231624 ,239245 ,233317 ,265366 ,262104 ,271438 ,315219 ,342483 ,381407 ,351626 ,292356 ,295497 ,322739 ,389553 ,250155 ,213186 ,146773 ,73505 ,23078 ,3742 
400009,福岡県,男,2430957 ,103931 ,118971 ,122360 ,118950 ,133737 ,129335 ,134049 ,156616 ,170073 ,189242 ,172192 ,140819 ,142732 ,153911 ,180174 ,108255 ,84071 ,48509 ,18644 ,3974 ,375 
400009,福岡県,女,2677550 ,100070 ,112653 ,116885 ,114367 ,131629 ,132769 ,137389 ,158603 ,172410 ,192165 ,179434 ,151537 ,152765 ,168828 ,209379 ,141900 ,129115 ,98264 ,54861 ,19104 ,3367 
410004,佐賀県,計,812193 ,31937 ,36871 ,39709 ,39268 ,38143 ,35298 ,38109 ,46347 ,50393 ,54372 ,51278 ,47905 ,53009 ,59274 ,65424 ,40409 ,36520 ,27403 ,14867 ,4859 ,773 
410004,佐賀県,男,386622 ,16384 ,18963 ,20249 ,20092 ,19193 ,18026 ,18932 ,23161 ,25201 ,27112 ,24966 ,23200 ,25516 ,28608 ,31179 ,17485 ,14353 ,9177 ,3883 ,846 ,88 
410004,佐賀県,女,425571 ,15553 ,17908 ,19460 ,19176 ,18950 ,17272 ,19177 ,23186 ,25192 ,27260 ,26312 ,24705 ,27493 ,30666 ,34245 ,22924 ,22167 ,18226 ,10984 ,4013 ,685 
420000,長崎県,計,1320055 ,47885 ,56327 ,59379 ,59725 ,54008 ,51598 ,58521 ,69431 ,76406 ,87897 ,86561 ,81491 ,91233 ,102347 ,114655 ,71191 ,65753 ,49714 ,25951 ,8541 ,1351 
420000,長崎県,男,622766 ,24612 ,28881 ,30580 ,30533 ,27566 ,26071 ,29205 ,34428 ,37601 ,43243 ,41772 ,39013 ,44167 ,49402 ,54163 ,30541 ,25542 ,17063 ,6746 ,1459 ,136 
420000,長崎県,女,697289 ,23273 ,27446 ,28799 ,29192 ,26442 ,25527 ,29316 ,35003 ,38805 ,44654 ,44789 ,42478 ,47066 ,52945 ,60492 ,40650 ,40211 ,32651 ,19205 ,7082 ,1215 
430005,熊本県,計,1747513 ,68278 ,79001 ,82670 ,80215 ,77163 ,75597 ,83099 ,98590 ,106784 ,115976 ,108937 ,104174 ,113993 ,127113 ,140656 ,89351 ,82665 ,64629 ,34876 ,11643 ,1907 
430005,熊本県,男,829853 ,34646 ,40554 ,42398 ,40992 ,38957 ,37996 ,41379 ,49106 ,53251 ,57478 ,52797 ,49922 ,55033 ,61587 ,67068 ,39168 ,32845 ,22569 ,9615 ,2184 ,233 
430005,熊本県,女,917660 ,33632 ,38447 ,40272 ,39223 ,38206 ,37601 ,41720 ,49484 ,53533 ,58498 ,56140 ,54252 ,58960 ,65526 ,73588 ,50183 ,49820 ,42060 ,25261 ,9459 ,1674 
440001,大分県,計,1131140 ,39420 ,46605 ,50177 ,50230 ,50168 ,47165 ,51537 ,61271 ,69388 ,78821 ,73225 ,64437 ,71709 ,82262 ,98920 ,64607 ,56806 ,42668 ,23299 ,7292 ,1099 
440001,大分県,男,538934 ,20073 ,24010 ,25649 ,25830 ,25841 ,24626 ,26361 ,31079 ,35156 ,39485 ,35816 ,30987 ,34468 ,39574 ,46455 ,28112 ,22768 ,14663 ,6468 ,1377 ,124 
440001,大分県,女,592206 ,19347 ,22595 ,24528 ,24400 ,24327 ,22539 ,25176 ,30192 ,34232 ,39336 ,37409 ,33450 ,37241 ,42688 ,52465 ,36495 ,34038 ,28005 ,16831 ,5915 ,975 
450006,宮崎県,計,1078313 ,40893 ,47965 ,51864 ,49604 ,44051 ,42998 ,47961 ,58848 ,65903 ,73120 ,66843 ,62754 ,71963 ,81781 ,92643 ,56629 ,52513 ,40392 ,21426 ,6905 ,1134 
450006,宮崎県,男,511039 ,20938 ,24447 ,26499 ,25323 ,22445 ,21953 ,23795 ,29003 ,32794 ,36223 ,32406 ,30047 ,34573 ,39438 ,43495 ,25001 ,21132 ,14223 ,5871 ,1240 ,141 
450006,宮崎県,女,567274 ,19955 ,23518 ,25365 ,24281 ,21606 ,21045 ,24166 ,29845 ,33109 ,36897 ,34437 ,32707 ,37390 ,42343 ,49148 ,31628 ,31381 ,26169 ,15555 ,5665 ,993 
460001,鹿児島県,計,1605419 ,61821 ,72791 ,76787 ,73376 ,63270 ,63885 ,74334 ,89209 ,97169 ,102805 ,98145 ,96380 ,112197 ,125767 ,131521 ,80417 ,77195 ,60967 ,34075 ,11044 ,1906 
460001,鹿児島県,男,759364 ,31481 ,37390 ,39500 ,37376 ,31255 ,31553 ,35871 ,43487 ,47468 ,50582 ,47191 ,46378 ,54732 ,61768 ,64043 ,35894 ,30956 ,21159 ,8965 ,2014 ,186 
460001,鹿児島県,女,846055 ,30340 ,35401 ,37287 ,36000 ,32015 ,32332 ,38463 ,45722 ,49701 ,52223 ,50954 ,50002 ,57465 ,63999 ,67478 ,44523 ,46239 ,39808 ,25110 ,9030 ,1720 
470007,沖縄県,計,1485670 ,76805 ,85015 ,85240 ,80416 ,76282 ,77641 ,84021 ,96229 ,98699 ,108988 ,99831 ,86305 ,90389 ,94607 ,90418 ,46067 ,48697 ,35407 ,17441 ,5513 ,1305 
470007,沖縄県,男,732981 ,39443 ,43516 ,43334 ,41319 ,39109 ,39356 ,42135 ,47762 ,49247 ,55259 ,50065 ,43231 ,45578 ,47335 ,44742 ,21215 ,20871 ,13292 ,4917 ,917 ,153 
470007,沖縄県,女,752689 ,37362 ,41499 ,41906 ,39097 ,37173 ,38285 ,41886 ,48467 ,49452 ,53729 ,49766 ,43074 ,44811 ,47272 ,45676 ,24852 ,27826 ,22115 ,12524 ,4596 ,1152 
注1：外国人住民の「男性総数が１～９人」「女性総数が１～９人」「男女計総数が49人以下」のいずれかに該当する市区町村における５歳ごと等の内訳は、非公表である,,,,,,,,,,,,,,,,,,,,,,,,
注2：注1に該当する市区町村を含む都道府県等における５歳ごと等の内訳は、非公表の市区町村分を含まないため、総数と５歳ごと等の内訳の合計が合わない,,,,,,,,,,,,,,,,,,,,,,,,
